Product name;Old price, PLN;New price, PLNDiscount, %
Obrotowy uchwyt TV Wieszak Telewizora LCD 45'-70';299.99;119.0;60.0
GERMANN ProWHITE Szczoteczka Soniczna + 4 końcówki;299.99;99.99;66.0
NUTRI BLENDER 1200W MIKSOWANIE MIELENIE KOKTAJLE;500.0;189.0;62.0
Maszynka do mielenia mięsa ZEEGMA szatkownica;349.99;249.99;28.0
KRAJALNICA ELEKTRYCZNA do chleba wędlin sera;450.0;269.0;40.0
ROBOT KUCHENNY PLANETARNY MIKSER FERRO 1700W 4,5L;999.0;399.0;60.0
MASZYNA DO SZYCIA MINI RĘCZNA NA BATERIE PODRĘCZNA;119.0;40.0;66.0
Automat do chleba Wypiekacz 15 programów 850W;900.0;499.0;44.0
Słuchawki bezprzewodowe dokanałowe RED TWS M18;169.99;69.0;59.0
Słuchawki bezprzewodowe bluetooth p47 Mikrofon mp3;76.0;13.0;82.0
SŁUCHAWKI BEZPRZEWODOWE i11 TWS DO IPHONE HUAWEI;32.68;17.99;44.0
ROBOT KUCHENNY PLANETARNY MIKSER ROTARY 2200W 6,2L;1499.0;749.0;50.0
WYCISKARKA WOLNOOBROTOWA DO SOKÓW KERCH MUSE 400W;699.0;349.0;50.0
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-2000-W;1499.0;499.0;66.0
BLENDER RĘCZNY MALAKSER 2TARCZE KERCH ACTIVE 1200W;359.0;219.0;38.0
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-1200-W;799.0;299.0;62.0
BLENDER RĘCZNY WIELOFUNKCYJNY KERCH QUICK 1200W;299.0;169.0;43.0
SOKOWIRÓWKA WYSOKOOBROTOWA INOX KERCH FRUIT 1400W;299.0;169.0;43.0
ROBOT KUCHENNY PLANETARNY MIKSER 1400W MISA 6L;1000.0;599.0;40.0
Oryginalny Windows 10 Professional 32/64bit PL;99.0;69.0;30.0
BLENDER RĘCZNY WIELOFUNKCYJNY 1200W 4w1 ZESTAW;400.0;199.0;50.0
ROBOT KUCHENNY MIKSER PLANETARNY ROBOMAX X-2000-W;1499.0;519.0;65.0
BLENDER KIELICHOWY STOJĄCY MIKSER X-850-W KOLIBER;349.0;149.0;57.0
BLENDER KIELICHOWY DO KOKTAJLI KERCH ROTO 1500W;399.0;199.0;50.0
CIŚNIENIOWY ekspres do kawy 1470W 15bar Spieniacz;1000.0;649.0;35.0
ODKURZACZ BEZWORKOWY CYKLONOWY 3300 +TURBOSZCZOTKA;559.0;339.0;39.0
Piekarnik elektryczny ROŻNO TERMOOBIEG GRILL 45L;800.0;349.0;56.0
